Model,Organ,Dice Score
Random Init.,spleen,0.9745233599850208
Random Init.,femur_right,0.9710205423611181
Random Init.,liver,0.9709703592664521
Random Init.,hip_right,0.9709216712317505
Random Init.,hip_left,0.9700494355170942
Random Init.,aorta,0.9674811879342252
Random Init.,autochthon_left,0.9637476748151329
Random Init.,lung_upper_lobe_left,0.9621913169228703
Random Init.,gluteus_medius_right,0.9601520705839683
Random Init.,autochthon_right,0.959587775871285
Random Init.,femur_left,0.9590912214606195
Random Init.,gluteus_maximus_left,0.9578433810123081
Random Init.,clavicula_left,0.9551876046053775
Random Init.,gluteus_maximus_right,0.9545446176017667
Random Init.,clavicula_right,0.9521686207819609
Random Init.,lung_lower_lobe_right,0.9506373843360766
Random Init.,trachea,0.9478802242911005
Random Init.,gluteus_medius_left,0.9458105088125507
Random Init.,kidney_right,0.9445809742827325
Random Init.,lung_lower_lobe_left,0.9421914215221929
Random Init.,kidney_left,0.9401260457838638
Random Init.,stomach,0.9399719801260514
Random Init.,scapula_right,0.9399052790942646
Random Init.,vertebrae_L2,0.9378632161280384
Random Init.,vertebrae_T1,0.937498491534391
Random Init.,sacrum,0.9370631334682306
Random Init.,spinal_cord,0.9369255437338648
Random Init.,heart,0.9364851007336065
Random Init.,rib_left_2,0.9350775031372904
Random Init.,superior_vena_cava,0.9314889383923476
Random Init.,iliopsoas_left,0.9310896936685417
Random Init.,gluteus_minimus_right,0.9310892445119945
Random Init.,rib_right_2,0.9302785530686378
Random Init.,gluteus_minimus_left,0.930056958858456
Random Init.,scapula_left,0.9277349451447234
Random Init.,vertebrae_L5,0.9247152619332505
Random Init.,lung_middle_lobe_right,0.9242898738775097
Random Init.,vertebrae_T11,0.9227939425935884
Random Init.,rib_left_3,0.9206431253599177
Random Init.,vertebrae_L4,0.9205994360515328
Random Init.,sternum,0.9205031786482818
Random Init.,vertebrae_L3,0.9203306238651275
Random Init.,vertebrae_T2,0.9197911702063627
Random Init.,vertebrae_L1,0.919152290986911
Random Init.,iliopsoas_right,0.918889120221138
Random Init.,vertebrae_C7,0.9170378275363651
Random Init.,vertebrae_C2,0.9169544654432684
Random Init.,brachiocephalic_vein_left,0.9166929947849888
Random Init.,inferior_vena_cava,0.9164568209414077
Random Init.,humerus_right,0.9150529627392932
Random Init.,urinary_bladder,0.9136506409517356
Random Init.,vertebrae_T12,0.9131876017287818
Random Init.,rib_right_4,0.9117803461940995
Random Init.,vertebrae_T10,0.9114010114677843
Random Init.,brachiocephalic_trunk,0.9107458032420929
Random Init.,rib_right_1,0.9104168255748989
Random Init.,rib_left_4,0.910216749459505
Random Init.,colon,0.9091864053545327
Random Init.,vertebrae_S1,0.9086921786322542
Random Init.,rib_left_1,0.907837884146956
Random Init.,rib_right_3,0.9063759027338176
Random Init.,esophagus,0.9047919919405283
Random Init.,iliac_vena_left,0.9036741826683283
Random Init.,atrial_appendage_left,0.9028670721489823
Random Init.,humerus_left,0.8991726464476467
Random Init.,vertebrae_T3,0.8977853834766607
Random Init.,vertebrae_T9,0.8953737411269008
Random Init.,rib_right_10,0.894831647911267
Random Init.,rib_left_9,0.8943294124246317
Random Init.,rib_left_11,0.8934470526965234
Random Init.,vertebrae_C3,0.8926188188294569
Random Init.,rib_right_11,0.8911932438721551
Random Init.,brachiocephalic_vein_right,0.8885975770155589
Random Init.,rib_right_7,0.8885050645174338
Random Init.,rib_right_12,0.8883384512797479
Random Init.,rib_left_8,0.8874933629728562
Random Init.,vertebrae_T4,0.886972081574066
Random Init.,rib_right_9,0.8859766520602854
Random Init.,rib_left_10,0.8853133791410581
Random Init.,rib_right_6,0.8837496868167124
Random Init.,iliac_vena_right,0.8832248154941539
Random Init.,iliac_artery_left,0.88321460307133
Random Init.,subclavian_artery_left,0.8830428303412672
Random Init.,thyroid_gland,0.8822465628985591
Random Init.,rib_left_5,0.8804071332491711
Random Init.,brain,0.8787297791568562
Random Init.,lung_upper_lobe_right,0.8774956604816936
Random Init.,iliac_artery_right,0.8774045383142046
Random Init.,vertebrae_C6,0.8771938853664324
Random Init.,vertebrae_C4,0.8771335177236435
Random Init.,rib_left_7,0.877020988980523
Random Init.,rib_left_12,0.8756410813985918
Random Init.,common_carotid_artery_left,0.8752766488501744
Random Init.,pulmonary_vein,0.8748733381186526
Random Init.,rib_right_8,0.8747529704070212
Random Init.,vertebrae_T5,0.8714204957170585
Random Init.,subclavian_artery_right,0.8679556928381518
Random Init.,skull,0.8670070903266177
Random Init.,rib_right_5,0.8669521782656541
Random Init.,small_bowel,0.8667205136410797
Random Init.,vertebrae_T8,0.8632886721134128
Random Init.,vertebrae_C1,0.8623856147751212
Random Init.,pancreas,0.8620537730515935
Random Init.,rib_left_6,0.8591761897800793
Random Init.,costal_cartilages,0.8571902778335092
Random Init.,vertebrae_T6,0.8511352142086253
Random Init.,adrenal_gland_right,0.8467451639793402
Random Init.,adrenal_gland_left,0.8405252280442611
Random Init.,duodenum,0.8278111747447277
Random Init.,vertebrae_C5,0.8225665918051651
Random Init.,vertebrae_T7,0.8205009647536151
Random Init.,common_carotid_artery_right,0.8131346574990578
Random Init.,portal_vein_and_splenic_vein,0.8003941960801112
Random Init.,gallbladder,0.7972440380574197
Random Init.,prostate,0.7494361923366296
Random Init.,kidney_cyst_left,0.5897419850031534
Random Init.,kidney_cyst_right,0.26595548912882805
