Model,Organ,Dice Score
CT FM (Ours),hip_left,0.9754792339489108
CT FM (Ours),spleen,0.9750537420972923
CT FM (Ours),femur_right,0.9713768914893821
CT FM (Ours),liver,0.9711506882601458
CT FM (Ours),hip_right,0.9704561507955316
CT FM (Ours),aorta,0.9676958517594771
CT FM (Ours),autochthon_left,0.9635236795368113
CT FM (Ours),lung_upper_lobe_left,0.963473827877176
CT FM (Ours),gluteus_maximus_left,0.9614316327818508
CT FM (Ours),autochthon_right,0.9610102810920813
CT FM (Ours),femur_left,0.9602054430692045
CT FM (Ours),gluteus_maximus_right,0.9591776745329643
CT FM (Ours),gluteus_medius_right,0.9581403719453976
CT FM (Ours),clavicula_left,0.9525984961466937
CT FM (Ours),clavicula_right,0.9525900884391436
CT FM (Ours),lung_lower_lobe_right,0.9504252490678838
CT FM (Ours),trachea,0.9491948918046722
CT FM (Ours),gluteus_medius_left,0.9469684677965501
CT FM (Ours),lung_lower_lobe_left,0.9462812565374032
CT FM (Ours),kidney_right,0.943277928859565
CT FM (Ours),sacrum,0.9420014210045338
CT FM (Ours),stomach,0.9409857596574205
CT FM (Ours),vertebrae_T1,0.9390437971660563
CT FM (Ours),scapula_right,0.9370469316130593
CT FM (Ours),vertebrae_L2,0.9361915533309397
CT FM (Ours),heart,0.9360683409791244
CT FM (Ours),spinal_cord,0.9360175561313787
CT FM (Ours),kidney_left,0.9359523580421375
CT FM (Ours),rib_left_2,0.9357038116082549
CT FM (Ours),gluteus_minimus_right,0.9352288045666435
CT FM (Ours),iliopsoas_left,0.9338854310239196
CT FM (Ours),gluteus_minimus_left,0.9325313078505653
CT FM (Ours),superior_vena_cava,0.9319309408118011
CT FM (Ours),rib_right_2,0.9312416810542345
CT FM (Ours),scapula_left,0.9305764923200888
CT FM (Ours),lung_middle_lobe_right,0.9286882749102154
CT FM (Ours),vertebrae_L5,0.9256736612688445
CT FM (Ours),iliopsoas_right,0.9252360972422587
CT FM (Ours),vertebrae_T2,0.9247593800194013
CT FM (Ours),vertebrae_C7,0.9200771491703214
CT FM (Ours),sternum,0.9195168721535714
CT FM (Ours),rib_left_3,0.9193345486007122
CT FM (Ours),brachiocephalic_vein_left,0.9191572410148262
CT FM (Ours),inferior_vena_cava,0.9190179411775286
CT FM (Ours),vertebrae_L1,0.9185781971821861
CT FM (Ours),vertebrae_L3,0.9184554548859596
CT FM (Ours),humerus_right,0.9174509490650844
CT FM (Ours),urinary_bladder,0.9155665636062622
CT FM (Ours),vertebrae_S1,0.9149866778686967
CT FM (Ours),vertebrae_T12,0.9148898406853077
CT FM (Ours),rib_right_1,0.9141710848553376
CT FM (Ours),vertebrae_C2,0.9137999407248572
CT FM (Ours),vertebrae_L4,0.9135871350719426
CT FM (Ours),vertebrae_T11,0.9124793007543882
CT FM (Ours),brachiocephalic_trunk,0.9113573472428795
CT FM (Ours),rib_left_1,0.9112394550178624
CT FM (Ours),rib_right_4,0.9111892869909068
CT FM (Ours),esophagus,0.9102662550494275
CT FM (Ours),iliac_vena_left,0.9096851053337256
CT FM (Ours),colon,0.9083778496788836
CT FM (Ours),vertebrae_T3,0.9079741985821848
CT FM (Ours),rib_right_10,0.9070624328601006
CT FM (Ours),rib_right_3,0.9062791150930968
CT FM (Ours),atrial_appendage_left,0.9053852820035183
CT FM (Ours),vertebrae_T10,0.9050246798830234
CT FM (Ours),rib_left_4,0.9045867555541918
CT FM (Ours),vertebrae_C3,0.9040715422481298
CT FM (Ours),humerus_left,0.9020364257422361
CT FM (Ours),rib_left_11,0.9005808467424127
CT FM (Ours),rib_left_9,0.8998865926701386
CT FM (Ours),rib_right_7,0.8992900482326309
CT FM (Ours),vertebrae_T4,0.8979401845239121
CT FM (Ours),rib_left_8,0.8977955240371257
CT FM (Ours),vertebrae_T9,0.8958708548398558
CT FM (Ours),rib_right_12,0.8941528733669509
CT FM (Ours),rib_right_6,0.8941406448042931
CT FM (Ours),rib_left_5,0.8940405140491653
CT FM (Ours),brain,0.8935767487855628
CT FM (Ours),rib_left_10,0.8911533120411805
CT FM (Ours),rib_right_11,0.8906920790562735
CT FM (Ours),subclavian_artery_left,0.8905268945971375
CT FM (Ours),vertebrae_C4,0.8899774209906658
CT FM (Ours),brachiocephalic_vein_right,0.8898763908942541
CT FM (Ours),rib_left_7,0.889672170137311
CT FM (Ours),vertebrae_T5,0.8880016017976581
CT FM (Ours),thyroid_gland,0.885916385474621
CT FM (Ours),rib_right_8,0.8856028784280536
CT FM (Ours),rib_right_9,0.8855174501867954
CT FM (Ours),iliac_vena_right,0.8854112607591292
CT FM (Ours),rib_left_12,0.8825826068910269
