Model,Organ,Dice Score
SuPREM,spleen,0.95922092688566
SuPREM,femur_right,0.9489918558478907
SuPREM,trachea,0.9484993287597794
SuPREM,autochthon_left,0.9483207107997248
SuPREM,hip_left,0.9477760936515253
SuPREM,autochthon_right,0.947308782233387
SuPREM,clavicula_left,0.9461525419315735
SuPREM,liver,0.9438612981162884
SuPREM,clavicula_right,0.9433689781653336
SuPREM,gluteus_medius_right,0.9428425092121651
SuPREM,vertebrae_T1,0.9423761342171263
SuPREM,femur_left,0.9369871275549805
SuPREM,hip_right,0.9363626355351117
SuPREM,aorta,0.9350447859276425
SuPREM,rib_left_2,0.9343379084020853
SuPREM,spinal_cord,0.9302726266059008
SuPREM,rib_right_2,0.9281816527247428
SuPREM,superior_vena_cava,0.9260744331938446
SuPREM,gluteus_maximus_right,0.9250793644580347
SuPREM,gluteus_maximus_left,0.923295494297455
SuPREM,vertebrae_T2,0.9221995620009227
SuPREM,scapula_right,0.9221390655206744
SuPREM,vertebrae_C7,0.920082392997497
SuPREM,vertebrae_C2,0.9170388835482299
SuPREM,gluteus_medius_left,0.9163702725738037
SuPREM,lung_lower_lobe_right,0.9159489183221012
SuPREM,sacrum,0.9154953067811827
SuPREM,kidney_left,0.9152040534617403
SuPREM,lung_lower_lobe_left,0.9151404314366967
SuPREM,brachiocephalic_vein_left,0.9147707729931646
SuPREM,gluteus_minimus_right,0.9147329402918165
SuPREM,gluteus_minimus_left,0.9125066782746997
SuPREM,scapula_left,0.9107739624293412
SuPREM,brachiocephalic_trunk,0.9105961113576068
SuPREM,stomach,0.9104672488076299
SuPREM,rib_right_1,0.9101477915760856
SuPREM,vertebrae_S1,0.9100646396532007
SuPREM,rib_left_1,0.9100108686127241
SuPREM,vertebrae_L5,0.9098025739320323
SuPREM,vertebrae_T12,0.9072269370121513
SuPREM,heart,0.9070032826771862
SuPREM,lung_upper_lobe_left,0.9050697732819329
SuPREM,iliopsoas_left,0.9041037088746477
SuPREM,kidney_right,0.9031908071724473
SuPREM,esophagus,0.9016882465826557
SuPREM,vertebrae_L2,0.901610406142646
SuPREM,vertebrae_L3,0.8998137524724007
SuPREM,iliopsoas_right,0.8990967649969426
SuPREM,lung_middle_lobe_right,0.8977676454748287
SuPREM,iliac_vena_left,0.8977183603992065
SuPREM,vertebrae_L1,0.8975841265532278
SuPREM,atrial_appendage_left,0.8966069768436931
SuPREM,rib_left_3,0.8963012391736048
SuPREM,vertebrae_T11,0.8949317177916369
SuPREM,vertebrae_T3,0.8948129034366838
SuPREM,inferior_vena_cava,0.8922089636154277
SuPREM,common_carotid_artery_left,0.8920940642031083
SuPREM,vertebrae_C3,0.8916809976100921
SuPREM,vertebrae_T10,0.8911281539635225
SuPREM,subclavian_artery_left,0.8904150846244404
SuPREM,brachiocephalic_vein_right,0.8877471687396368
SuPREM,vertebrae_C4,0.8876837943539475
SuPREM,thyroid_gland,0.8861066049227379
SuPREM,sternum,0.885886314527897
SuPREM,urinary_bladder,0.8854569034384829
SuPREM,humerus_right,0.8844896217702123
SuPREM,vertebrae_L4,0.8843608141617209
SuPREM,rib_right_3,0.8832966284479321
SuPREM,vertebrae_T4,0.8823288575789009
SuPREM,iliac_vena_right,0.8804523827930709
SuPREM,vertebrae_C6,0.8776632244288921
SuPREM,subclavian_artery_right,0.875782373421765
SuPREM,iliac_artery_left,0.8700384136697766
SuPREM,rib_right_4,0.8684573623479581
SuPREM,colon,0.8662543394014068
SuPREM,vertebrae_T9,0.8660622333084385
SuPREM,humerus_left,0.8651994561299312
SuPREM,pulmonary_vein,0.8649328112876489
SuPREM,rib_right_12,0.8636645134418242
SuPREM,costal_cartilages,0.8550261764244234
SuPREM,rib_left_4,0.8547087278682739
SuPREM,pancreas,0.8532956717448542
SuPREM,vertebrae_T5,0.8531240835745004
SuPREM,vertebrae_C5,0.8530533097502662
SuPREM,rib_left_12,0.8524233741590228
SuPREM,iliac_artery_right,0.8522534889961816
SuPREM,vertebrae_C1,0.846823726547882
SuPREM,brain,0.8457275154069066
SuPREM,rib_left_11,0.8454557690006422
SuPREM,lung_upper_lobe_right,0.8396065119477162
SuPREM,rib_right_11,0.8381992140565725
SuPREM,common_carotid_artery_right,0.8363387261340821
SuPREM,adrenal_gland_right,0.8339517439481305
SuPREM,vertebrae_T8,0.8298450835834956
SuPREM,adrenal_gland_left,0.8292144300728481
SuPREM,rib_right_10,0.8285286483730663
SuPREM,rib_left_9,0.8237112076311125
SuPREM,rib_left_10,0.8197892718017101
SuPREM,small_bowel,0.8180794889826469
SuPREM,rib_left_5,0.8141134738181177
SuPREM,skull,0.8084401203702916
SuPREM,vertebrae_T6,0.8051747745269756
SuPREM,rib_left_8,0.8049694508126828
SuPREM,rib_right_5,0.7979904580940704
SuPREM,duodenum,0.7917612460691907
SuPREM,rib_right_9,0.7906214332379968
SuPREM,vertebrae_T7,0.7871251998534952
SuPREM,rib_left_6,0.7839032570436519
SuPREM,portal_vein_and_splenic_vein,0.7833826369942581
SuPREM,gallbladder,0.780582322313111
SuPREM,rib_left_7,0.7782051358474317
SuPREM,rib_right_8,0.7676973812785214
SuPREM,rib_right_7,0.7646118465222811
SuPREM,rib_right_6,0.7562236388707738
SuPREM,prostate,0.7474389857933169
SuPREM,kidney_cyst_left,0.45162460456291836
SuPREM,kidney_cyst_right,0.20917343456918994
