test_file,cohort,flag,precision@3,precision@5,precision@10,average_precision
pancreas_328.nii.gz,Colon,cancer_flag,1.0,1.0,0.8,0.8004090272472626
liver_83.nii.gz,Colon,cancer_flag,0.3333333333333333,0.4,0.3,0.8004090272472626
lung_029.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
liver_73.nii.gz,Colon,cancer_flag,0.0,0.0,0.0,0.8004090272472626
liver_5.nii.gz,Colon,cancer_flag,0.0,0.0,0.0,0.8004090272472626
lung_081.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
lung_047.nii.gz,Colon,cancer_flag,1.0,0.8,0.7,0.8004090272472626
liver_125.nii.gz,Colon,cancer_flag,0.3333333333333333,0.6,0.6,0.8004090272472626
pancreas_308.nii.gz,Colon,cancer_flag,0.6666666666666666,0.4,0.2,0.8004090272472626
lung_037.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_165.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_208.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_212.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_011.nii.gz,Colon,cancer_flag,1.0,1.0,0.9,0.8004090272472626
colon_162.nii.gz,Colon,cancer_flag,0.6666666666666666,0.8,0.9,0.8004090272472626
colon_007.nii.gz,Colon,cancer_flag,0.3333333333333333,0.4,0.5,0.8004090272472626
colon_041.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_216.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_193.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_005.nii.gz,Colon,cancer_flag,1.0,1.0,0.9,0.8004090272472626
colon_117.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_030.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_072.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,0.8004090272472626
colon_077.nii.gz,Colon,cancer_flag,1.0,1.0,0.9,0.8004090272472626
