test_file,precision@3,precision@5,precision@10,average_precision
pancreas_328.nii.gz,0.0,0.0,0.0,0
liver_83.nii.gz,0.0,0.0,0.0,0
lung_029.nii.gz,0.0,0.0,0.0,0
liver_73.nii.gz,0.0,0.0,0.0,0
liver_5.nii.gz,0.0,0.0,0.0,0
lung_081.nii.gz,0.0,0.0,0.0,0
lung_047.nii.gz,0.0,0.0,0.0,0
liver_125.nii.gz,0.0,0.0,0.0,0
pancreas_308.nii.gz,0.0,0.0,0.0,0
lung_037.nii.gz,0.0,0.0,0.0,0
colon_165.nii.gz,0.0,0.0,0.0,0
colon_208.nii.gz,0.0,0.0,0.0,0
colon_212.nii.gz,0.0,0.0,0.0,0
colon_011.nii.gz,0.0,0.0,0.0,0
colon_162.nii.gz,0.0,0.0,0.0,0
colon_007.nii.gz,0.0,0.0,0.0,0
colon_041.nii.gz,0.0,0.0,0.0,0
colon_216.nii.gz,0.0,0.0,0.0,0
colon_193.nii.gz,0.0,0.0,0.0,0
colon_005.nii.gz,0.0,0.0,0.0,0
colon_117.nii.gz,0.0,0.0,0.0,0
colon_030.nii.gz,0.0,0.0,0.0,0
colon_072.nii.gz,0.0,0.0,0.0,0
colon_077.nii.gz,0.0,0.0,0.0,0
