test_file,cohort,flag,precision@3,precision@5,precision@10,average_precision
pancreas_328.nii.gz,Colon,lesion_group,1.0,1.0,0.8,0.4957647233348168
liver_83.nii.gz,Colon,lesion_group,0.3333333333333333,0.4,0.3,0.4957647233348168
lung_029.nii.gz,Colon,lesion_group,1.0,1.0,1.0,0.4957647233348168
liver_73.nii.gz,Colon,lesion_group,0.0,0.0,0.0,0.4957647233348168
liver_5.nii.gz,Colon,lesion_group,0.0,0.0,0.0,0.4957647233348168
lung_081.nii.gz,Colon,lesion_group,1.0,1.0,1.0,0.4957647233348168
lung_047.nii.gz,Colon,lesion_group,1.0,0.8,0.7,0.4957647233348168
liver_125.nii.gz,Colon,lesion_group,0.3333333333333333,0.6,0.6,0.4957647233348168
pancreas_308.nii.gz,Colon,lesion_group,0.6666666666666666,0.4,0.2,0.4957647233348168
lung_037.nii.gz,Colon,lesion_group,1.0,1.0,1.0,0.4957647233348168
colon_165.nii.gz,Colon,lesion_group,0.0,0.4,0.3,0.4957647233348168
colon_208.nii.gz,Colon,lesion_group,0.3333333333333333,0.4,0.4,0.4957647233348168
colon_212.nii.gz,Colon,lesion_group,0.0,0.0,0.1,0.4957647233348168
colon_011.nii.gz,Colon,lesion_group,0.6666666666666666,0.6,0.3,0.4957647233348168
colon_162.nii.gz,Colon,lesion_group,0.3333333333333333,0.6,0.6,0.4957647233348168
colon_007.nii.gz,Colon,lesion_group,0.0,0.0,0.2,0.4957647233348168
colon_041.nii.gz,Colon,lesion_group,0.3333333333333333,0.4,0.4,0.4957647233348168
colon_216.nii.gz,Colon,lesion_group,0.6666666666666666,0.6,0.4,0.4957647233348168
colon_193.nii.gz,Colon,lesion_group,0.0,0.2,0.2,0.4957647233348168
colon_005.nii.gz,Colon,lesion_group,0.6666666666666666,0.4,0.3,0.4957647233348168
colon_117.nii.gz,Colon,lesion_group,0.6666666666666666,0.6,0.5,0.4957647233348168
colon_030.nii.gz,Colon,lesion_group,0.6666666666666666,0.6,0.5,0.4957647233348168
colon_072.nii.gz,Colon,lesion_group,0.0,0.2,0.4,0.4957647233348168
colon_077.nii.gz,Colon,lesion_group,1.0,0.8,0.5,0.4957647233348168
