test_file,precision@3,precision@5,precision@10,average_precision
pancreas_328.nii.gz,1.0,1.0,0.8,0.7763888888888889
liver_83.nii.gz,0.3333333333333333,0.2,0.1,0.1
lung_029.nii.gz,1.0,1.0,1.0,1.0
liver_73.nii.gz,0.0,0.0,0.0,0.0
liver_5.nii.gz,0.0,0.2,0.1,0.025
lung_081.nii.gz,1.0,1.0,1.0,1.0
lung_047.nii.gz,0.0,0.0,0.0,0.0
liver_125.nii.gz,0.3333333333333333,0.2,0.2,0.06666666666666667
pancreas_308.nii.gz,0.0,0.0,0.1,0.016666666666666666
lung_037.nii.gz,1.0,1.0,1.0,1.0
colon_165.nii.gz,0.0,0.0,0.1,0.01111111111111111
colon_208.nii.gz,0.0,0.4,0.4,0.15785714285714286
colon_212.nii.gz,0.0,0.0,0.2,0.03111111111111111
colon_011.nii.gz,0.6666666666666666,0.8,0.6,0.41809523809523813
colon_162.nii.gz,0.6666666666666666,0.6,0.5,0.3393650793650793
colon_007.nii.gz,0.0,0.0,0.0,0.0
colon_041.nii.gz,0.0,0.2,0.1,0.025
colon_216.nii.gz,0.6666666666666666,0.4,0.3,0.21666666666666665
colon_193.nii.gz,0.3333333333333333,0.2,0.3,0.16666666666666666
colon_005.nii.gz,1.0,1.0,0.5,0.5
colon_117.nii.gz,0.3333333333333333,0.4,0.4,0.17619047619047618
colon_030.nii.gz,0.6666666666666666,0.8,0.6,0.4530952380952381
colon_072.nii.gz,0.3333333333333333,0.4,0.6,0.28888888888888886
colon_077.nii.gz,0.3333333333333333,0.2,0.2,0.12
