test_file,cohort,flag,precision@3,precision@5,precision@10,average_precision
liver_47.nii.gz,Liver,cancer_flag,0.0,0.0,0.0,0.8077228544333809
lung_069.nii.gz,Liver,cancer_flag,1.0,0.8,0.9,0.8077228544333809
liver_119.nii.gz,Liver,cancer_flag,0.0,0.0,0.2,0.8077228544333809
lung_004.nii.gz,Liver,cancer_flag,1.0,1.0,0.8,0.8077228544333809
lung_093.nii.gz,Liver,cancer_flag,1.0,1.0,0.9,0.8077228544333809
liver_87.nii.gz,Liver,cancer_flag,0.6666666666666666,0.4,0.3,0.8077228544333809
liver_67.nii.gz,Liver,cancer_flag,1.0,1.0,1.0,0.8077228544333809
liver_63.nii.gz,Liver,cancer_flag,1.0,1.0,1.0,0.8077228544333809
liver_29.nii.gz,Liver,cancer_flag,0.3333333333333333,0.2,0.3,0.8077228544333809
liver_61.nii.gz,Liver,cancer_flag,1.0,1.0,1.0,0.8077228544333809
liver_79.nii.gz,Liver,cancer_flag,1.0,1.0,1.0,0.8077228544333809
liver_85.nii.gz,Liver,cancer_flag,1.0,1.0,1.0,0.8077228544333809
liver_111.nii.gz,Liver,cancer_flag,1.0,0.8,0.8,0.8077228544333809
liver_50.nii.gz,Liver,cancer_flag,1.0,1.0,1.0,0.8077228544333809
liver_16.nii.gz,Liver,cancer_flag,1.0,1.0,0.9,0.8077228544333809
liver_93.nii.gz,Liver,cancer_flag,1.0,1.0,0.9,0.8077228544333809
liver_100.nii.gz,Liver,cancer_flag,1.0,1.0,1.0,0.8077228544333809
liver_117.nii.gz,Liver,cancer_flag,1.0,0.8,0.8,0.8077228544333809
liver_97.nii.gz,Liver,cancer_flag,1.0,1.0,1.0,0.8077228544333809
