test_file,precision@3,precision@5,precision@10,average_precision
liver_47.nii.gz,0.0,0.0,0.0,0
lung_069.nii.gz,0.0,0.0,0.0,0
liver_119.nii.gz,0.0,0.0,0.0,0
lung_004.nii.gz,0.0,0.0,0.0,0
lung_093.nii.gz,0.0,0.0,0.0,0
liver_87.nii.gz,0.0,0.0,0.0,0
liver_67.nii.gz,0.0,0.0,0.0,0
liver_63.nii.gz,0.0,0.0,0.0,0
liver_29.nii.gz,0.0,0.0,0.0,0
liver_61.nii.gz,0.0,0.0,0.0,0
liver_79.nii.gz,0.0,0.0,0.0,0
liver_85.nii.gz,0.0,0.0,0.0,0
liver_111.nii.gz,0.0,0.0,0.0,0
liver_50.nii.gz,0.0,0.0,0.0,0
liver_16.nii.gz,0.0,0.0,0.0,0
liver_93.nii.gz,0.0,0.0,0.0,0
liver_100.nii.gz,0.0,0.0,0.0,0
liver_117.nii.gz,0.0,0.0,0.0,0
liver_97.nii.gz,0.0,0.0,0.0,0
