test_file,cohort,flag,precision@3,precision@5,precision@10,average_precision
liver_47.nii.gz,Liver,lesion_group,0.0,0.0,0.0,0.499668412604545
lung_069.nii.gz,Liver,lesion_group,1.0,0.8,0.9,0.499668412604545
liver_119.nii.gz,Liver,lesion_group,0.0,0.0,0.2,0.499668412604545
lung_004.nii.gz,Liver,lesion_group,1.0,1.0,0.8,0.499668412604545
lung_093.nii.gz,Liver,lesion_group,1.0,1.0,0.9,0.499668412604545
liver_87.nii.gz,Liver,lesion_group,0.6666666666666666,0.4,0.3,0.499668412604545
liver_67.nii.gz,Liver,lesion_group,0.0,0.0,0.1,0.499668412604545
liver_63.nii.gz,Liver,lesion_group,1.0,0.8,0.6,0.499668412604545
liver_29.nii.gz,Liver,lesion_group,0.3333333333333333,0.2,0.2,0.499668412604545
liver_61.nii.gz,Liver,lesion_group,0.6666666666666666,0.8,0.9,0.499668412604545
liver_79.nii.gz,Liver,lesion_group,1.0,1.0,0.9,0.499668412604545
liver_85.nii.gz,Liver,lesion_group,1.0,1.0,0.9,0.499668412604545
liver_111.nii.gz,Liver,lesion_group,0.0,0.0,0.3,0.499668412604545
liver_50.nii.gz,Liver,lesion_group,0.6666666666666666,0.6,0.6,0.499668412604545
liver_16.nii.gz,Liver,lesion_group,0.6666666666666666,0.6,0.3,0.499668412604545
liver_93.nii.gz,Liver,lesion_group,0.6666666666666666,0.4,0.3,0.499668412604545
liver_100.nii.gz,Liver,lesion_group,0.3333333333333333,0.2,0.1,0.499668412604545
liver_117.nii.gz,Liver,lesion_group,0.6666666666666666,0.4,0.4,0.499668412604545
liver_97.nii.gz,Liver,lesion_group,0.0,0.0,0.2,0.499668412604545
