test_file,precision@3,precision@5,precision@10,average_precision
liver_12.nii.gz,0.0,0.0,0.0,0
liver_125.nii.gz,0.0,0.0,0.0,0
liver_65.nii.gz,0.0,0.0,0.0,0
liver_73.nii.gz,0.0,0.0,0.0,0
pancreas_120.nii.gz,0.0,0.0,0.0,0
pancreas_212.nii.gz,0.0,0.0,0.0,0
pancreas_217.nii.gz,0.0,0.0,0.0,0
pancreas_218.nii.gz,0.0,0.0,0.0,0
pancreas_246.nii.gz,0.0,0.0,0.0,0
pancreas_265.nii.gz,0.0,0.0,0.0,0
pancreas_303.nii.gz,0.0,0.0,0.0,0
pancreas_304.nii.gz,0.0,0.0,0.0,0
pancreas_318.nii.gz,0.0,0.0,0.0,0
pancreas_345.nii.gz,0.0,0.0,0.0,0
pancreas_346.nii.gz,0.0,0.0,0.0,0
pancreas_347.nii.gz,0.0,0.0,0.0,0
lung_001.nii.gz,0.0,0.0,0.0,0
lung_037.nii.gz,0.0,0.0,0.0,0
lung_059.nii.gz,0.0,0.0,0.0,0
lung_061.nii.gz,0.0,0.0,0.0,0
lung_070.nii.gz,0.0,0.0,0.0,0
lung_079.nii.gz,0.0,0.0,0.0,0
lung_080.nii.gz,0.0,0.0,0.0,0
lung_020.nii.gz,0.0,0.0,0.0,0
lung_031.nii.gz,0.0,0.0,0.0,0
lung_041.nii.gz,0.0,0.0,0.0,0
lung_051.nii.gz,0.0,0.0,0.0,0
lung_064.nii.gz,0.0,0.0,0.0,0
lung_074.nii.gz,0.0,0.0,0.0,0
lung_086.nii.gz,0.0,0.0,0.0,0
lung_036.nii.gz,0.0,0.0,0.0,0
lung_075.nii.gz,0.0,0.0,0.0,0
