test_file,precision@3,precision@5,precision@10,average_precision
liver_12.nii.gz,1.0,1.0,1.0,1.0
liver_125.nii.gz,0.3333333333333333,0.4,0.2,0.09
liver_65.nii.gz,0.6666666666666666,0.8,0.6,0.505
liver_73.nii.gz,1.0,1.0,1.0,1.0
pancreas_120.nii.gz,1.0,1.0,0.9,0.89
pancreas_212.nii.gz,1.0,1.0,0.8,0.788888888888889
pancreas_217.nii.gz,1.0,1.0,1.0,1.0
pancreas_218.nii.gz,1.0,1.0,1.0,1.0
pancreas_246.nii.gz,1.0,1.0,1.0,1.0
pancreas_265.nii.gz,1.0,1.0,1.0,1.0
pancreas_303.nii.gz,1.0,1.0,1.0,1.0
pancreas_304.nii.gz,1.0,1.0,1.0,1.0
pancreas_318.nii.gz,1.0,1.0,1.0,1.0
pancreas_345.nii.gz,1.0,1.0,1.0,1.0
pancreas_346.nii.gz,1.0,1.0,1.0,1.0
pancreas_347.nii.gz,1.0,1.0,1.0,1.0
lung_001.nii.gz,0.0,0.0,0.2,0.041666666666666664
lung_037.nii.gz,0.3333333333333333,0.6,0.4,0.1933333333333333
lung_059.nii.gz,0.0,0.4,0.4,0.14785714285714285
lung_061.nii.gz,0.3333333333333333,0.4,0.4,0.16333333333333333
lung_070.nii.gz,0.0,0.0,0.3,0.06888888888888889
lung_079.nii.gz,0.3333333333333333,0.4,0.4,0.21333333333333332
lung_080.nii.gz,0.0,0.0,0.2,0.04523809523809523
lung_020.nii.gz,1.0,0.8,0.7,0.62
lung_031.nii.gz,0.6666666666666666,0.8,0.6,0.4530952380952381
lung_041.nii.gz,0.6666666666666666,0.6,0.6,0.4129761904761905
lung_051.nii.gz,1.0,1.0,0.7,0.6527777777777778
lung_064.nii.gz,0.6666666666666666,0.6,0.6,0.46130952380952384
lung_074.nii.gz,0.6666666666666666,0.6,0.5,0.27666666666666667
lung_086.nii.gz,0.3333333333333333,0.6,0.4,0.20999999999999996
lung_036.nii.gz,0.3333333333333333,0.2,0.1,0.03333333333333333
lung_075.nii.gz,0.0,0.0,0.0,0.0
