test_file,precision@3,precision@5,precision@10,average_precision
liver_73.nii.gz,0.3333333333333333,0.2,0.1,0.03333333333333333
lung_070.nii.gz,1.0,1.0,1.0,1.0
lung_061.nii.gz,1.0,1.0,1.0,1.0
lung_029.nii.gz,1.0,1.0,1.0,1.0
pancreas_345.nii.gz,0.0,0.0,0.2,0.041666666666666664
pancreas_304.nii.gz,0.0,0.0,0.0,0.0
pancreas_165.nii.gz,0.0,0.2,0.2,0.04857142857142857
pancreas_102.nii.gz,1.0,0.8,0.8,0.6842063492063492
pancreas_191.nii.gz,1.0,1.0,0.8,0.7675
pancreas_261.nii.gz,0.3333333333333333,0.6,0.8,0.5308730158730158
pancreas_021.nii.gz,1.0,0.8,0.6,0.5291666666666667
pancreas_098.nii.gz,0.6666666666666666,0.6,0.8,0.6458730158730158
pancreas_279.nii.gz,1.0,0.8,0.5,0.4425
pancreas_005.nii.gz,1.0,1.0,1.0,1.0
pancreas_045.nii.gz,1.0,1.0,0.8,0.7621031746031746
pancreas_204.nii.gz,1.0,1.0,0.7,0.6732142857142857
pancreas_214.nii.gz,0.6666666666666666,0.8,0.8,0.691547619047619
pancreas_292.nii.gz,1.0,1.0,0.9,0.8788888888888889
pancreas_198.nii.gz,0.3333333333333333,0.2,0.6,0.29174603174603175
pancreas_056.nii.gz,1.0,1.0,0.9,0.9
pancreas_125.nii.gz,1.0,1.0,0.7,0.6875
pancreas_339.nii.gz,0.6666666666666666,0.8,0.7,0.55
pancreas_392.nii.gz,0.0,0.2,0.6,0.26674603174603173
pancreas_095.nii.gz,0.6666666666666666,0.6,0.6,0.37797619047619047
pancreas_298.nii.gz,0.6666666666666666,0.8,0.8,0.6592063492063491
pancreas_331.nii.gz,1.0,1.0,0.6,0.575
pancreas_372.nii.gz,0.0,0.0,0.1,0.014285714285714285
pancreas_411.nii.gz,0.0,0.2,0.4,0.13107142857142856
pancreas_311.nii.gz,0.3333333333333333,0.2,0.2,0.12857142857142856
pancreas_096.nii.gz,0.0,0.0,0.1,0.016666666666666666
pancreas_042.nii.gz,0.0,0.2,0.1,0.02
pancreas_287.nii.gz,0.0,0.0,0.1,0.01111111111111111
